folder,mat_file,tdms_file,log_no,n_peaks,n_intervals,freq_mean_Hz,freq_std_Hz,freq_median_Hz,freq_MAD_Hz,fft_f0_Hz,fft_a0_amp
29_08_D_88mm_260mm,Up_8_ERp_0.6_PH2p_0_12_22_39.mat,"ER1_0,6_log5_29.08.2025_12.22.22.tdms",5,70,69,0.5777153729817942,0.1646922788681399,0.5832032790021159,0.06724588454146384,0.537109375,0.11865573307962322
29_08_D_88mm_260mm,Up_8_ERp_0.6_PH2p_0_12_25_9.mat,"ER1_0,6_log6_29.08.2025_12.25.06.tdms",6,66,65,0.549418620008347,0.05252245343719205,0.5561107394437669,0.06036614661139599,0.537109375,0.13006320182783668
29_08_D_88mm_260mm,Up_15_ERp_0.65_PH2p_0_12_52_22.mat,"ER1_0,7_log4_29.08.2025_12.52.19.tdms",4,159,158,1.320108310040872,0.1542726093612555,1.3393319088148523,0.14838280787189512,1.318359375,0.3300479111696203
29_08_D_88mm_260mm,Up_15_ERp_0.65_PH2p_0_12_56_43.mat,"ER1_0,7_log5_29.08.2025_12.56.39.tdms",5,142,141,1.1829014167358587,0.13774222710016873,1.1957302862937025,0.12655256653922192,1.171875,0.38866355634829025
29_08_D_88mm_260mm,Up_15_ERp_0.65_PH2p_0_12_59_4.mat,"ER1_0,7_log6_29.08.2025_12.59.01.tdms",6,137,136,1.1475628157954696,0.13908013152991322,1.1643375188759941,0.11708134457521974,1.123046875,0.33908718951183664
29_08_D_88mm_260mm,Up_39.4_ERp_0.76_PH2p_0_13_24_9.mat,"ER1_0,75_log4_29.08.2025_13.24.05.tdms",4,277,276,2.3105849243224417,0.3298618034704155,2.3615133622706943,0.34271542114746556,2.294921875,0.196263435452238
29_08_D_88mm_260mm,Up_39.4_ERp_0.76_PH2p_0_13_28_24.mat,"ER1_0,75_log5_29.08.2025_13.28.19.tdms",5,259,258,2.163686452749025,0.35083153726795824,2.2354636446661136,0.3545970322850515,2.099609375,0.17504831284200975
29_08_D_88mm_260mm,Up_39.4_ERp_0.76_PH2p_0_13_30_42.mat,"ER1_0,75_log6_29.08.2025_13.30.40.tdms",6,259,258,2.156145229518651,0.37603410271334886,2.226136563684805,0.4114605224410231,2.197265625,0.16700191815091758
29_08_D_88mm_260mm,Up_49.7_ERp_0.8_PH2p_0_14_7_5.mat,"ER1_0,8_log6_29.08.2025_14.07.03.tdms",6,240,239,2.0051150400776354,0.4747997716362396,2.1296941120346884,0.4933943700567489,2.197265625,0.16802655448868725
29_08_D_88mm_260mm,Up_49.7_ERp_0.8_PH2p_0_14_10_21.mat,"ER1_0,8_log5_29.08.2025_14.10.19.tdms",5,166,165,1.3837203207715287,0.4766751028030346,1.5875460189902255,0.46573798459407534,1.806640625,0.03254245779965149
29_08_D_88mm_260mm,Up_49.7_ERp_0.8_PH2p_0_14_13_17.mat,"ER1_0,8_log4_29.08.2025_14.13.14.tdms",4,139,138,1.8276911580195552,0.6005372312467256,1.9599728687749165,0.5528025763894459,0.048828125,0.034973431874004736
29_08_D_88mm_260mm,Up_59.6_ERp_0.83_PH2p_0_14_44_7.mat,"ER1_0,85_log6_29.08.2025_14.44.04.tdms",6,42,41,2.3295893990727556,0.6041249616909797,2.5954273760488773,0.6721330067239731,0.048828125,0.021128648129476756
29_08_D_88mm_260mm,Up_59.6_ERp_0.83_PH2p_0_14_49_23.mat,"ER1_0,85_log4_29.08.2025_14.49.20.tdms",4,175,174,1.4549944381583295,0.6595893715794355,1.7080323713763268,0.7375099829908759,2.44140625,0.035056082913605804
29_08_D_88mm_260mm,Up_59.6_ERp_0.83_PH2p_0_14_57_10.mat,"ER1_0,85_log5_29.08.2025_14.57.06.tdms",5,125,124,1.2830415401978312,0.5941840238089855,1.4702660071754154,0.5778556921556041,0.048828125,0.0336021815106279
